	QEq	Динамический QEq	Avarage
660	0,2855	0,2763	0,2854
661	0,2855	0,27613	0,28539
662	0,2855	0,27601	0,28538
663	0,2855	0,27589	0,28536
664	0,2855	0,27579	0,28535
665	0,2855	0,27567	0,28533
666	0,2855	0,2756	0,28532
667	0,2855	0,27554	0,2853
668	0,2855	0,2755	0,28529
669	0,2855	0,27544	0,28527
670	0,2855	0,27542	0,28526
671	0,2855	0,27542	0,28524
672	0,2855	0,27544	0,28523
673	0,2855	0,27544	0,28521
674	0,2855	0,2755	0,2852
675	0,2855	0,27556	0,28519
676	0,2855	0,27563	0,28517
677	0,2855	0,2757	0,28516
678	0,2855	0,27582	0,28514
679	0,2855	0,27595	0,28513
680	0,2855	0,27607	0,28512
681	0,2855	0,27621	0,2851
682	0,2855	0,27639	0,28509
683	0,2855	0,27657	0,28508
684	0,2855	0,27675	0,28507
685	0,2855	0,27696	0,28506
686	0,2855	0,2772	0,28504
687	0,2855	0,27742	0,28503
688	0,2855	0,27766	0,28502
689	0,2855	0,27793	0,28501
690	0,2855	0,27821	0,285
691	0,2855	0,27848	0,28499
692	0,2855	0,27878	0,28498
693	0,2855	0,27911	0,28497
694	0,2855	0,27943	0,28497
695	0,2855	0,27974	0,28496
696	0,2855	0,2801	0,28495
697	0,2855	0,28045	0,28495
698	0,2855	0,28082	0,28494
699	0,2855	0,28118	0,28493
700	0,2855	0,28154	0,28493
701	0,2855	0,28196	0,28493
702	0,2855	0,28238	0,28492
703	0,2855	0,28274	0,28492
704	0,2855	0,28316	0,28492
705	0,2855	0,28358	0,28491
706	0,2855	0,28399	0,28491
707	0,2855	0,28444	0,28491
708	0,2855	0,28488	0,28491
709	0,2855	0,28529	0,28491
710	0,2855	0,28571	0,28491
711	0,2855	0,28613	0,28492
712	0,2855	0,28659	0,28492
713	0,2855	0,28707	0,28492
714	0,2855	0,28754	0,28492
715	0,2855	0,28797	0,28493
716	0,2855	0,28839	0,28493
717	0,2855	0,28881	0,28494
718	0,2855	0,28923	0,28495
719	0,2855	0,28964	0,28495
720	0,2855	0,29006	0,28496
721	0,2855	0,29048	0,28497
722	0,2855	0,29089	0,28497
723	0,2855	0,29131	0,28498
724	0,2855	0,29173	0,28499
725	0,2855	0,29215	0,285
726	0,2855	0,29256	0,28501
727	0,2855	0,29298	0,28502
728	0,2855	0,2934	0,28504
729	0,2855	0,2938	0,28505
730	0,2855	0,29416	0,28506
731	0,2855	0,29452	0,28507
732	0,2855	0,29488	0,28509
733	0,2855	0,29523	0,2851
734	0,2855	0,29557	0,28511
735	0,2855	0,29587	0,28513
736	0,2855	0,29616	0,28514
737	0,2855	0,29646	0,28516
738	0,2855	0,29671	0,28518
739	0,2855	0,29695	0,28519
740	0,2855	0,29719	0,28521
741	0,2855	0,29739	0,28522
742	0,2855	0,29763	0,28524
743	0,2855	0,29786	0,28526
744	0,2855	0,29804	0,28527
745	0,2855	0,29822	0,28529
746	0,2855	0,29836	0,28531
747	0,2855	0,29848	0,28533
748	0,2855	0,29858	0,28534
749	0,2855	0,29869	0,28536
750	0,2855	0,2988	0,28538
751	0,2855	0,29886	0,2854
752	0,2855	0,29892	0,28542
753	0,2855	0,29893	0,28543
754	0,2855	0,29893	0,28545
755	0,2855	0,29894	0,28547
756	0,2855	0,29894	0,28549
757	0,2855	0,29889	0,28551
758	0,2855	0,29883	0,28552
759	0,2855	0,29872	0,28554
760	0,2855	0,29865	0,28556
761	0,2855	0,29854	0,28558
762	0,2855	0,29843	0,28559
763	0,2855	0,29825	0,28561
764	0,2855	0,29808	0,28562
765	0,2855	0,29791	0,28564
766	0,2855	0,29773	0,28566
767	0,2855	0,29749	0,28567
768	0,2855	0,29726	0,28569
769	0,2855	0,29699	0,2857
770	0,2855	0,29675	0,28572
771	0,2855	0,29646	0,28573
772	0,2855	0,29616	0,28574
773	0,2855	0,29581	0,28576
774	0,2855	0,2955	0,28577
775	0,2855	0,29517	0,28578
776	0,2855	0,29481	0,28579
777	0,2855	0,29443	0,2858
778	0,2855	0,29401	0,28581
779	0,2855	0,29365	0,28582
780	0,2855	0,29323	0,28583
781	0,2855	0,29281	0,28584
782	0,2855	0,29236	0,28585
783	0,2855	0,29189	0,28586
784	0,2855	0,29146	0,28587
785	0,2855	0,291	0,28587
786	0,2855	0,29052	0,28588
787	0,2855	0,29004	0,28588
788	0,2855	0,28953	0,28589
789	0,2855	0,28899	0,28589
790	0,2855	0,28852	0,2859
791	0,2855	0,28804	0,2859
792	0,2855	0,2875	0,2859
793	0,2855	0,28697	0,2859
794	0,2855	0,28643	0,2859
795	0,2855	0,2859	0,2859
796	0,2855	0,28536	0,2859
797	0,2855	0,28482	0,2859
798	0,2855	0,28428	0,2859
799	0,2855	0,28375	0,2859
800	0,2855	0,28321	0,28589
801	0,2855	0,28267	0,28589
802	0,2855	0,28214	0,28588
803	0,2855	0,2816	0,28588
804	0,2855	0,28106	0,28587
805	0,2855	0,28053	0,28587
806	0,2855	0,27999	0,28586
807	0,2855	0,27945	0,28585
808	0,2855	0,27892	0,28584
809	0,2855	0,27838	0,28583
810	0,2855	0,27785	0,28582
811	0,2855	0,27736	0,28581
812	0,2855	0,27688	0,2858
813	0,2855	0,27641	0,28579
814	0,2855	0,27599	0,28578
815	0,2855	0,27558	0,28577
816	0,2855	0,27516	0,28575
817	0,2855	0,27473	0,28574
818	0,2855	0,27425	0,28572
819	0,2855	0,27384	0,28571
820	0,2855	0,27342	0,2857
821	0,2855	0,273	0,28568
